cuisine,recepies,ingredients
South Indian Recipes,Cabbage Palya Recipe,"['cabbage patta', ' tomato', ' onion', ' garlic', ' green chillies', ' coriander', ' coconut', ' mustard seeds', ' asafoetida', ' curry leaves', ' mustard oil', ' salt']"
Continental,Cauliflower Au Gratin Recipe - French Style Cauliflower & Cheese Bake,"['cauliflower', ' butter', ' all purpose flour', ' milk', ' nutmeg powder', ' cheddar cheese', ' parmesan cheese', ' wheat bread crumbs', ' salt and pepper']"
North Indian Recipes,Sweet Corn And Capsicum Gravy Recipe,"['sweet corn', ' yellow and green bell', ' onions', ' tomato', ' green chilli', ' ginger paste', ' curd dahi yogurt', ' cashew nuts', ' water', ' sunflower oil', ' salt']"
Continental,Traditional Christmas Cake Recipe,"['black raisins', ' prunes', ' apricots', ' chopped', ' figs', ' orange juice', ' orange zest rind', ' nutralite classic spread', ' baking powder', ' sugar demerara sugar', ' eggs', ' vanilla extract', ' cinnamon powder', ' powder', ' ginger powder', ' almond meal', ' all purpose flour', ' almonds badam']"
Continental,Salted Caramel Ice Cream Recipe With Salted Roasted Almonds,"['use amul cream', ' milk', ' sugar', ' vanilla extract', ' almond roasted salted', ' butter', ' sugar', ' cream', ' vanilla extract', ' sea salt']"
Indian,Matar Mushroom Curry Recipe,"['mushrooms', ' green peas', ' onion', ' tomato pureed', ' ginger garlic paste', ' cumin seeds', ' turmeric powder haldi', ' coriander powder', ' red chilli powder', ' garam masala powder', ' fenugreek', ' tomato ketchup', ' cream', ' sunflower oil', ' coriander', ' salt']"
Continental,Vegetarian Corn Chowder Soup Recipe,"['extra virgin olive oil', ' celery', ' milk', ' water', ' aloo boiled', ' sweet corn steamed corn', ' black pepper powder', ' black peppercorns']"
Continental,Whole Wheat Orange Honey Cake Recipe,"['whole wheat flour', ' baking powder', ' baking soda', ' condensed milk', ' sunflower oil', ' vanilla custard', ' orange juice', ' lemon juice', ' brown sugar demerara sugar', ' orange zest rind', ' water', ' sugar', ' honey', ' jam mixed fruit', ' sugar']"
Continental,Instant Granola In A Microwave Recipe,"['oats oatmeal', ' honey agave syrup', ' sunflower oil', ' water', ' salt', ' badam almond', ' pumpkin seeds', ' dessicated coconut']"
North Indian Recipes,Carrot Cauliflower Peas Sabzi Recipe - Carrot Cabbage Pea Vegetable Recipe,"['carrots', ' cabbage', ' green peas', ' green peppers slit', ' celery', ' bay leaves', ' cinnamon', ' cardamom', ' pepper', ' mustard oil']"
North Indian Recipes,Sukh Lu Matar Methi Vegetable Recipe,"['aloo boiled', ' green peas', ' fenugreek leaves', ' onion', ' red chilli powder', ' coriander powder', ' turmeric powder', ' garam masala powder', ' sunflower oil', ' salt']"
Italian Recipes,Creamy Spinach & Cheese Bread Toast Recipe,"['butter', ' spinach leaves palak', ' onion', ' garlic', ' corn flour', ' milk', ' salt', ' black peppercorns', ' red chilli flakes', ' cream', ' cheese', ' brown bread']"
Continental,Rich Decadent Chocolate Souffle Recipe,"['dark chocolate', ' butter unsalted', ' sugar', ' egg', ' egg', ' sugar', ' vanilla extract', ' salt', ' cream of tartar', ' icing sugar', ' cream']"
Indian, Bhindi Raita (Recipe In Hindi),"['okra', ' oil', ' hung fat', ' mustard', ' cumin seeds', ' red chilli powder', ' peanut powder roast', ' chaat masala powder', ' asafoetida', ' sugar', ' salt']"
Indian,Masala Puri Chaat Recipe,"['green peas', ' onion', ' tomato', ' coriander', ' pani puris fried', ' sev thin', ' lemon juice', ' green chutney coriander mint', ' coriander dhania seeds', ' cumin seeds', ' fennel seeds', ' red chilli', ' salt']"
Indian,Chammanthi Chutney Recipe (Coconut And Onion Chutney),"['coconut', ' ginger', ' onion', ' curry leaves', ' asafoetida hing', ' mustard seeds', ' red chilli', ' sunflower oil', ' salt']"
Indian,Coriander Potato Recipe - Dhania Wale Aloo,"['small', ' cumin powder', ' black pepper powder', ' garam masala powder', ' lemon juice', ' sesame white', ' salt salt', ' coriander', ' ginger', ' green chili']"
Continental,Classic Cheesecake Recipe With Lemon Curd Made Using Preethi Electric Pressure Cooker,"['eggs', ' egg', ' sugar', ' butter unsalted', ' lemon zest', ' lemon juice', ' ginger cookies', ' butter', ' britannia cheese', ' sugar', ' all purpose flour', ' salt', ' curd greek yogurt', ' vanilla extract', ' eggs']"
Indian,Gajar Amla Raita Recipe - Carrot Gooseberry Raita Recipe,"['curd dahi yogurt', ' carrot', ' amla', ' split mustard seeds', ' red chilli powder', ' coconut', ' chilli', ' salt', ' sunflower oil', ' mustard seeds', ' cumin seeds', ' curry leaves']"
Indian,Spicy Pepper Chicken Recipe,"['chicken', ' sunflower oil', ' onions', ' water', ' tomato', ' turmeric powder haldi', ' red chilli powder', ' ginger garlic paste', ' black peppercorns', ' cumin seeds', ' fennel seeds', ' salt', ' leaves', ' coriander']"
South Indian Recipes,Green Moong Dal And Vegetable Idli Recipe,"['yellow moong', ' white urad', ' seeds fenugreek seeds', ' carrot', ' green bell pepper capsicum', ' dill leaves', ' coriander', ' ginger', ' green chillies', ' salt']"
South Indian Recipes,Lemon Juice Recipe - Lemon Saaru Recipe,"['arhar dal', ' tomatoes', ' green chilli slit', ' ginger chopped', ' turmeric powder', ' turmeric powder', ' coriander powder', ' cumin powder', ' black pepper powder', ' coriander', ' salt', ' lemon juice', ' ghee sesame oil', ' mustard seeds', ' cumin seeds', ' curry leaves', ' asafoetida hing']"
Continental,Crunchy Ragi And Oats Breakfast Bowl Recipe,"['ragi flour finger millet', ' oats oatmeal', ' water', ' milk', ' honey', ' digestive ragi biscuits', ' badam almond', ' pistachios sliced']"
South Indian Recipes, Cabbage Palya (Recipe In Hindi),"['cabbage', ' tomato', ' onion', ' garlic', ' green chillies', ' green coriander', ' coconut grated', ' mustard', ' curry leaves', ' mustard oil', ' salt']"
Continental,Guava Empanadas Recipe,"['all purpose flour', ' salt', ' sugar', ' baking powder', ' butter unsalted', ' water', ' cream cheese', ' guava', ' nuts', ' caster sugar']"
South Indian Recipes,Quick & Easy Idli Upma Recipe With Figaro Olive Oil,"['idli', ' onions onions', ' green chillies', ' ginger', ' turmeric powder', ' mustard seeds', ' white urad', ' curry leaves', ' olive oil', ' coriander', ' salt']"
North Indian Recipes,Masoor Dal Makhni Recipe,"['whole', ' onion', ' tomato', ' garlic', ' ginger', ' bay leaf', ' cloves', ' cumin seeds', ' cinnamon', ' garam masala powder', ' red chilli powder', ' coriander powder', ' ghee', ' cream', ' salt']"
Indian,Punjabi Style Black Eyed Beans Curry (Recipe In Hindi),"['cowpea', ' onions', ' tomatoes', ' green chili', ' ginger garlic paste', ' cumin seeds', ' cinnamon', ' bay leaf', ' cloves', ' red chilli powder', ' turmeric powder', ' cumin powder', ' coriander powder', ' garam masala powder', ' ginger', ' ghee', ' salt salt']"
North Indian Recipes,Aloo Raswala Sabzi Recipe,"['sunflower oil', ' seeds fenugreek seeds', ' cumin seeds', ' asafoetida', ' onion', ' garlic', ' ginger', ' green chillies', ' tomatoes', ' potatoes aloo', ' turmeric powder haldi', ' garam masala powder', ' red chilli powder', ' salt', ' coriander dhania']"
Indian,Chicken Malai Kebab Recipe,"['chicken', ' onion paste', ' ginger garlic paste', ' ml cream', ' red chilli powder', ' cumin powder', ' salt', ' sunflower oil']"
South Indian Recipes,Prawns Kuzhambu Recipe - Tangy Prawns In Tamarind And Coconut Gravy,"['prawns', ' onions', ' turmeric powder', ' tomato', ' garlic', ' ginger paste', ' tamarind paste', ' mustard seeds', ' coconut', ' curry leaves', ' red chilli powder', ' cardamom', ' sunflower oil', ' water', ' salt']"
North Indian Recipes,Aval Mixture Recipe - Poha Chivda,"['poha rice', ' red khara', ' roasted peanuts', ' chana dal', ' curry leaves', ' turmeric powder', ' asafoetida hing', ' red chilli powder', ' salt', ' sunflower oil']"
Indian,Menthe Hittu Recipe (Roasted Fenugreek Chutney Powder),"['white urad', ' chana dal', ' arhar dal split', ' yellow moong', ' rice', ' wheat', ' seeds fenugreek seeds', ' coriander seeds', ' cumin seeds', ' black peppercorns', ' red chillies', ' curry leaves', ' turmeric powder', ' asafoetida hing']"
Indian, Raw Banana Chivda Recipe,"['bananas', ' peanuts', ' curry leaves', ' green chillies', ' tbsp', ' cashews', ' almonds', ' red chilli powder', ' castor sugar', ' spoon chaat masala powder', ' salt', ' oil']"
Continental,Banana Butterscotch Cake Recipe,"['whole wheat flour', ' baking powder', ' baking soda', ' cinnamon powder', ' salt', ' sugar powdered', ' eggs', ' bananas mashed', ' sunflower oil', ' milk', ' butterscotch chips', ' vanilla extract']"
Indian,Poha Breakfast Bowl Recipe With Sprouts & Crunchy Peanuts,"['poha flattened rice', ' salt', ' sugar', ' lemon juice', ' sunflower oil', ' mustard seeds', ' green chillies', ' curry leaves', ' potato aloo', ' onion', ' turmeric powder', ' coriander dhania', ' peanuts', ' sunflower oil', ' salt', ' chaat masala powder', ' black pepper powder', ' cumin powder', ' red chilli powder', ' green moong sprouts', ' onion', ' tomato', ' lemon juice', ' coriander dhania', ' salt', ' black pepper powder', ' carrot', ' coconut diced', ' salt', ' sugar', ' lemon juice', ' green chilli']"
North Indian Recipes,Almond and Cashew Nut Mushroom Curry Recipe,"['button', ' onions', ' garlic', ' ginger', ' green chillies', ' sesame seeds seeds', ' poppy seeds', ' badam almond', ' cashew nuts', ' black pepper powder', ' sunflower oil butter', ' garam masala powder', ' coriander', ' salt']"
North Indian Recipes,Cabbage Capsicum Sabzi Recipe - Cabbage Capsicum Vegetable Recipe,"['cabbage', ' oil', ' capsicum green', ' mustard', ' cumin seeds', ' red chillies', ' turmeric powder', ' coriander powder', ' red chilli powder', ' salt', ' lemon juice']"
Continental,Peri Peri Fish Fingers Recipe,"['basa fish', ' all purpose flour', ' salt', ' black pepper powder', ' egg', ' milk', ' wheat bread crumbs', ' red chilli powder', ' red chilli flakes', ' garlic powder', ' ginger powder', ' cinnamon powder', ' oregano']"
North Indian Recipes,Velvet Rajma Kebab Recipe,"['beans', ' onions', ' garlic', ' ginger', ' green chillies', ' coriander', ' cumin powder', ' coriander powder', ' dry mango powder', ' red chilli powder', ' garam masala powder', ' roasted flour', ' sugar', ' salt', ' sunflower oil', ' mawa']"
North Indian Recipes,Dahi Turai Ki Sabzi Recipe (Ridge Gourd Simmered In Yogurt Curry Recipe),"['ridge', ' flour', ' sugar', ' turmeric powder', ' green chillies', ' curd dahi', ' tomatoes puree', ' bay leaf', ' kalonji onion nigella seeds', ' sunflower oil', ' salt', ' ghee', ' cumin seeds', ' red chilli', ' cinnamon']"
Continental,Eggless Carrot Muffins Recipe,"['whole wheat flour', ' curd dahi yogurt', ' carrot', ' sugar', ' oil sunflower oil', ' badam almond', ' vanilla extract', ' baking powder', ' baking soda', ' salt']"
Indian,Bitter Gourd Juice Recipe - Karela Juice,"['gourd', ' ginger', ' lemon juice', ' turmeric powder', ' black salt kala', ' salt', ' honey', ' black pepper powder', ' mint leaves']"
Continental,Oats Carrot Bell Peppers Mayo Sandwich Recipe,"['brown bread', ' butter', ' carrot', ' red bell pepper capsicum', ' oats oatmeal', ' classic mayonnaise', ' red chilli flakes', ' oregano', ' salt and pepper']"
North Indian Recipes,Murg Badami Recipe - Chicken In Almond Gravy,"['chicken', ' badam almond', ' onions', ' ginger garlic paste', ' red chilli powder', ' red chillies', ' turmeric powder', ' salt', ' seeds soaked', ' cinnamon', ' cloves', ' bay leaf', ' cardamom powder', ' white pepper powder', ' cumin seeds', ' curd dahi yogurt', ' ghee', ' cream', ' coriander dhania']"
Indian,Tomato Methi Rice Recipe,"['rice', ' onion', ' ginger', ' garlic', ' tomatoes', ' leaves fenugreek leaves', ' red chilli powder', ' coriander powder', ' garam masala powder', ' cinnamon', ' cloves', ' cardamom', ' ghee', ' salt']"
Continental,Vegan Guilt Free Chocolate Espresso Mousse Recipe,"['bananas', ' avocados', ' dark chocolate', ' cocoa powder', ' coffee powder', ' sugar', ' coconut', ' vanilla extract', ' icing sugar', ' chocolate shavings', ' decorative sugar cake']"
North Indian Recipes,Spicy Dalia Pulao Recipe - Broken Wheat Pulao,"['wheat', ' water', ' onion', ' carrot', ' beans french beans', ' green chillies', ' turmeric powder', ' cumin seeds', ' salt', ' garam masala powder', ' red chilli powder', ' tomatoes', ' ginger garlic paste', ' bay leaf', ' red chilli powder', ' tomatoes', ' ginger garlic paste', ' coriander']"
Continental,Eggless Cake Pops Recipe,"['all purpose flour', ' sugar', ' butter', ' milk', ' baking powder', ' baking soda', ' vanilla extract', ' sunflower oil', ' chocolate melted', ' white chocolate melted', ' decorative sugar cake / candy sprinkles']"
Continental,Tomatoes Stuffed With Mint Mayo And Paneer Recipe,"['homemade cottage cheese', ' del monte mint mayo', ' tomatoes', ' onion', ' green bell pepper capsicum', ' virgin olive oil', ' black peppercorns', ' salt']"
Continental,Savory Carrot Olive Spinach Sandwich Spread Recipe,"['carrots', ' green olives', ' spinach leaves palak', ' walnuts', ' garlic', ' chia seeds', ' basil leaves', ' black pepper powder', ' cream cheese', ' salt', ' extra virgin olive oil']"
Continental,Spinach Open Toast With Fried Egg Recipe,"['brown bread', ' eggs', ' spinach leaves palak', ' tomato', ' black peppercorns', ' salt', ' sunflower oil', ' butter']"
South Indian Recipes,Kandathipli And Arisi Thipli Rasam Recipe,"['medicinal herb', ' medicinal herb', ' chana dal', ' cumin seeds', ' black peppercorns', ' seeds', ' curry leaves', ' asafoetida hing', ' salt', ' lemon', ' water', ' turmeric powder haldi', ' coriander', ' ghee', ' mustard seeds', ' cumin seeds', ' red chilli']"
North Indian Recipes,Paneer Kalimirch (Recipe),"['cheese', ' cream', ' milk', ' turmeric powder', ' garam masala powder', ' pepper grind', ' salt', ' cashews', ' garlic', ' ginger peel', ' garlic', ' oil', ' black pepper powder']"
Indian,Carrot Fenugreek Leaves Stir Fry (Recipe in Hindi),"['carrots', ' fenugreek', ' onion', ' cumin', ' red chili powder', ' coriander powder', ' turmeric powder', ' mango powder', ' salt oil']"
North Indian Recipes,Pineapple Mushroom Tikka Recipe With Tandoori Masala,"['button', ' green bell pepper capsicum', ' pineapple', ' onion', ' flour', ' curd dahi yogurt', ' ginger garlic paste', ' turmeric powder haldi', ' red chilli powder', ' tandoori masala', ' fenugreek leaves', ' lemon juice', ' salt', ' sunflower oil']"
Continental,"Stuffed Bread Rolls With Pumpkin, Onion & Cheese Recipe","['wheat flour', ' all purpose flour', ' butter unsalted', ' dry yeast', ' sugar', ' salt', ' kaddu parangikai pumpkin', ' onion', ' garlic', ' cream', ' nutmeg powder', ' red chilli flakes', ' thyme leaves', ' milk', ' cheese', ' salt']"
Indian,Baby Corn Paneer Kathi Roll Recipe - Baby Corn Paneer Kathi Roll Recipe,"['oil', ' garlic', ' onion', ' capsicum green', ' carrot', ' baby corn', ' as per', ' chaat masala', ' achari mayo', ' paratha', ' cucumber', ' tomato', ' tbsp']"
Indian,Green Spinach & Oats Cutlet Recipe,"['oats oatmeal', ' green peas matar steamed', ' spinach', ' green chilli', ' coriander dhania', ' ginger', ' salt', ' black peppercorns', ' oregano', ' lemon juiced', ' sunflower oil']"
Continental,Spinach Fig & Cherry Tomatoes Salad with Red Wine Vinaigrette Recipe,"['spinach leaves', ' figs', ' cherry tomatoes', ' cucumber', ' feta cheese', ' red wine vinaigrette', ' dijon mustard', ' extra virgin olive oil', ' salt and pepper']"
Indian,Cheese Masala Omelette Recipe,"['eggs', ' onion', ' tomato', ' cheese', ' green chillies', ' coriander', ' salt', ' sunflower oil']"
South Indian Recipes, Sweet Potato And Bitter Gourd Kulambu (Recipe In Hindi),"['sweet potato', ' onion', ' coconut', ' gourd', ' tamarind water', ' red chillies', ' sesame oil peanuts', ' turmeric powder', ' sambar powder', ' coriander powder', ' salt', ' mustard seeds', ' fenugreek seeds', ' chickpea lentils', ' asafoetida', ' curry leaves', ' water']"
South Indian Recipes,Keerai Vadai Recipe,"['chana', ' spinach', ' onion', ' green chillies', ' garlic', ' ginger', ' cumin seeds', ' salt olive oil', ' fry']"
North Indian Recipes,Chana Dal & Methi Ki Sabzi (Recipe in Hindi),"['chana', ' fenugreek seeds', ' cumin seeds', ' mustard seeds', ' asafoetida', ' asafoetida', ' curry leaves', ' red chilli powder', ' turmeric powder', ' mango powder', ' coriander powder', ' salt', ' oil']"
Continental,Vegan Gluten Free Banana Bread Recipe,"['bananas mashed', ' almond milk badam', ' coconut water', ' flax seed powder', ' salt', ' bananas', ' cinnamon powder', ' vanilla extract', ' baking powder', ' baking soda', ' coconut oil', ' date syrup', ' apple cider vinegar', ' buckwheat flour kuttu ka', ' rolled oats', ' badam almond', ' dark dairy']"
South Indian Recipes,Tirunelveli Buttermilk Broth Recipe,"[' tamarind water', ' curd dahi yogurt', ' salt', ' white urad', ' seeds fenugreek seeds', ' red chillies', ' cumin seeds', ' coconut', ' coconut oil', ' mustard seeds', ' white urad', ' curry leaves']"
North Indian Recipes,Amla Methi Sukhi Sabzi Recipe - Healthy Diabetic Sabzi,"['amla', ' water', ' sunflower oil', ' cumin seeds', ' fennel seeds', ' carom seeds', ' asafoetida', ' green chillies', ' ginger', ' garlic', ' onions', ' tomatoes', ' salt', ' turmeric powder', ' methi', ' garam masala powder', ' coriander powder', ' cumin powder', ' coriander']"
South Indian Recipes,Rise and Ridge Kerat Burji - Cantaloupe Egg Fry Recipe,"['gourd turai', ' eggs', ' onion', ' cumin seeds', ' mustard seeds', ' white urad dal', ' black pepper powder', ' sunflower oil', ' salt salt', ' curry leaves']"
Italian Recipes,Gingerbread Biscotti Recipe,"['all purpose flour maida', ' whole wheat flour', ' baking powder', ' butter', ' sunflower oil', ' brown sugar demerara sugar', ' molasses corn syrup', ' dry ginger powder', ' all spice powder', ' eggs', ' salt', ' hazelnut']"
Continental,Beetroot Salad Recipe with Mixed Greens & Feta Cheese,"['beetroot', ' onion', ' cherry tomatoes', ' iceberg lettuce', ' half', ' feta cheese', ' melon seeds roasted', ' extra virgin olive oil', ' salt and pepper', ' za atar', ' red wine vinaigrette']"
North Indian Recipes,Pineapple Chicken Tikka Recipe,"['chicken', ' pineapple', ' sunflower oil', ' curd yogurt', ' flour', ' garlic', ' ginger paste', ' fenugreek leaves', ' fennel seeds saunf roasted', ' carom seeds', ' cumin powder', ' coriander powder', ' black pepper powder', ' turmeric powder haldi', ' red chilli powder', ' garam masala powder', ' black salt kala', ' salt']"
North Indian Recipes, Tawa Paneer Masala (Recipe In Hindi),"['paneer pieces', ' red chilli powder', ' turmeric powder', ' salt', ' oil', ' cumin seeds', ' celery', ' onion', ' garlic', ' coriander powder', ' tomato puree', ' royal cumin', ' cream', ' green chilli', ' garam masala powder']"
Continental,Baked Pumpkin Cream Cheese French Toast Recipe - Breakfast Bread Pudding Recipe,"['brown bread', ' cream cheese', ' milk', ' sugar', ' nutmeg powder', ' cinnamon powder', ' vanilla extract', ' all purpose flour', ' brown sugar demerara sugar', ' cinnamon powder', ' butter unsalted', ' walnuts', ' salt']"
South Indian Recipes,Oatmeal Dosa Recipe - Savory Oatmeal Breakfast Crepes (Recipe In Hindi),"['oatmeal', ' wheat flour', ' semolina', ' yogurt', ' water', ' green chillies', ' cumin powder', ' pepper', ' coriander', ' oil', ' salt']"
Indian,Pakodi Koora Recipes,"['brinjal baingan', ' cauliflower', ' potato aloo', ' onion', ' onion', ' sesame seeds', ' raw peanuts', ' red chilli powder', ' coriander powder', ' coriander dhania seeds', ' curry leaves', ' green chillies', ' ginger garlic paste', ' turmeric powder', ' flour', ' rice flour', ' coriander', ' salt', ' sunflower oil']"
Indian,Sweet And Spicy Thai Style Paneer Recipe,"['paneer cottage cheese', ' red curry paste', ' sriracha sauce', ' lemon juiced', ' garlic', ' green chillies', ' salt and pepper', ' sunflower oil', ' sesame seeds seeds', ' roasted peanuts', ' onion', ' lemon wedges', ' spring onion greens', ' coriander dhania']"
Indian,Coconut Rice Pulao With Coconut Cream Recipe,"['basmati rice', ' coconut milk', ' ghee', ' bay leaves', ' cardamom', ' black peppercorns', ' cumin seeds', ' ginger', ' carrot', ' green peas', ' cashew nuts', ' coconut', ' salt']"
Continental,Broccoli Almond Soup Recipe - Healthy Soup Weight Loss,"['broccoli', ' onion', ' garlic', ' milk', ' badam almond', ' salt', ' black peppercorns', ' extra virgin olive oil']"
Continental,Shrimp Deviled Eggs Recipe,"['eggs', ' onion greens', ' shrimps', ' classic mayonnaise', ' mustard sauce', ' black pepper powder', ' garlic powder', ' spring onion greens', ' salt']"
North Indian Recipes,Cauliflower And Soya Chunks Sabzi Recipe,"['cauliflower', ' soy', ' onion', ' mustard seeds', ' cumin seeds', ' coconut', ' red chilli powder', ' garam masala powder', ' turmeric powder', ' coriander', ' curry leaves', ' sunflower oil', ' salt', ' water', ' lemon juice']"
Indian,Sweet Potato & Neem Leaves Vegetable Curry (Recipe in Hindi),"['sweet potatoes', ' neem leaves', ' mustard', ' white urad dal', ' red chili', ' lentils', ' oil', ' salt', ' groundnut powder']"
Indian,Potato And Peas Curry Recipe In Coconut Milk Gravy,"['coconut', ' water', ' aloo peeled', ' green peas steamed', ' onion', ' tomato', ' ginger', ' garlic', ' cloves', ' cumin powder', ' coriander powder', ' black peppercorns', ' turmeric powder', ' garam masala powder', ' coconut milk', ' salt']"
Indian,Ajwaini Tomato Okra Recipe,"['bhindi', ' seeds', ' asafoetida hing', ' red chilli powder', ' tomato puree', ' sugar', ' soaked', ' salt']"
Indian,Bread Batata Vada Recipe-Crispy Bread Bonda Stuffed With Spicy Aloo,"['brown bread white', ' water', ' sunflower oil', ' aloo', ' green chillies', ' ginger', ' turmeric powder haldi', ' lemon juice', ' coriander', ' sunflower oil', ' salt']"
North Indian Recipes,Kolkata Club Style Baked Kachori Aloo Recipe,"['all purpose flour', ' seeds', ' sunflower oil', ' salt', ' water', ' sunflower oil', ' red chilli powder', ' cumin powder', ' coriander', ' garam masala powder', ' dry mango powder', ' turmeric powder haldi', ' yellow moong', ' salt', ' coriander', ' sunflower oil', ' aloo', ' sunflower oil', ' red chilli', ' mustard seeds', ' cumin seeds', ' ginger garlic paste', ' onion', ' tomatoes', ' green chillies', ' garam masala powder', ' coriander', ' turmeric powder haldi', ' cumin powder', ' red chilli powder', ' salt', ' coriander dhania', ' coriander']"
South Indian Recipes,Stuffed Bhindi Recipe With Peanuts,"['lady finger', ' garlic', ' ginger', ' onion', ' tomatoes pureed', ' figaro pure olive oil', ' peanuts', ' sesame seeds til seeds', ' coriander powder', ' garam masala powder', ' turmeric powder', ' red chilli powder', ' dry mango powder', ' flour', ' sugar', ' salt', ' olive oil']"
Indian, Ginger Garlic Tofu Curry (Recipe In Hindi),"['tofu', ' ginger', ' garlic paste', ' carrot', ' green onions', ' green onion leaves', ' green chili', ' coconut milk', ' vegetable stock', ' turmeric powder', ' black pepper powder', ' garam masala powder', ' red chilli sauce', ' salt', ' soy sauce', ' corn flour']"
Continental,Broccoli & Cheese Filled Crepe Recipe (with Roasted Red Peppers),"['crepes', ' broccoli', ' red bell pepper capsicum', ' dijon mustard', ' britannia cream cheese flavored', ' salt', ' red chilli flakes', ' butter', ' cheddar cheese']"
Continental,Homemade Apple Pie Recipe With Whole Wheat Pie Crust,"['whole wheat flour', ' salt', ' sugar', ' butter chilled', ' water ice', ' apples', ' lemon juiced', ' sugar', ' brown sugar demerara sugar', ' all purpose flour', ' cinnamon powder', ' salt', ' milk', ' honey', ' sugar']"
Indian,Spicy Mushroom And Broccoli Stir Fry Recipe Flavored With Tandoori Mayo,"['mushrooms', ' broccoli', ' red bell pepper', ' tomatoes', ' garlic', ' del', ' red chilli powder', ' salt', ' sunflower oil']"
Continental,Creamy Stuffed Chicken With Pepper Cilantro Sauce Recipe,"['chicken', ' black peppercorns', ' coriander dhania leaves cilantro', ' lemon zest', ' thyme leaves', ' rosemary', ' oregano', ' sage', ' salt', ' britannia cheese', ' del', ' extra virgin olive oil', ' corn flour', ' black peppercorns', ' salt', ' sugar', ' garlic', ' milk', ' coriander']"
Italian Recipes,White Bean Pasta Recipe,"['conchiglie', ' white beans', ' coriander', ' mint leaves', ' pine nuts', ' badam almond', ' green chillies', ' extra virgin olive oil', ' lemon juice', ' salt']"
Indian, Capsicum Masala Gravy (Recipe In Hindi),"['capsicum green', ' onion', ' tomatoes', ' cashews', ' sesame white', ' peanuts', ' red chili powder', ' coriander powder', ' garam masala powder', ' oil', ' ginger', ' green chillies', ' cardamom', ' bay leaves', ' turmeric powder', ' cumin seeds', ' salt']"
North Indian Recipes,Haleem Kebab Recipe,"['broken wheat', ' white', ' yellow moong dal', ' chana dal', ' mutton', ' ginger', ' garlic', ' salt', ' saffron', ' green chillies', ' red chilli powder', ' turmeric powder', ' coriander dhania powder', ' cumin powder', ' chaat masala', ' flour', ' mint leaves', ' ghee']"
South Indian Recipes,Andhra Style Corn Vada Recipe,"['chana dal', ' sweet corn', ' green chillies', ' ginger', ' red chillies', ' onion', ' cumin seeds', ' curry leaves', ' coriander', ' flour', ' salt']"
Indian,Baked Paneer Bread Pakora Recipe,"['brown bread', ' paneer cottage cheese', ' ginger', ' mint leaves', ' coriander dhania', ' red chilli flakes', ' salt and pepper', ' butter']"
North Indian Recipes,Paneer Butter Masala Recipe,"['paneer cottage cheese', ' tomatoes pureed', ' red chilli powder', ' cumin powder', ' garam masala powder', ' cream', ' butter', ' salt', ' fenugreek leaves', ' onion', ' ginger', ' garlic', ' cashew nuts']"
Continental,Pizza Pinwheels Recipe,"['whole wheat flour', ' all purpose flour', ' water', ' dry yeast', ' salt', ' sugar', ' extra virgin olive oil', ' onion', ' tomato', ' green bell pepper capsicum', ' extra virgin olive oil', ' pizza and pasta', ' mozzarella cheese', ' oregano', ' red chilli flakes']"
South Indian Recipes,Radish Greens Poriyal Recipe (South Indian Style Radish Greens Stir Fry),"['shallots roughly', ' tomato', ' mooli ke patte radish', ' turmeric powder haldi', ' salt', ' arhar', ' coconut', ' red chilli', ' sesame', ' cumin seeds', ' ginger', ' curry leaves']"
Indian,Khatta Meetha Petha Recipe,"['pumpkin', ' green chillies', ' black pepper', ' oil', ' fennel', ' sugar', ' salt', ' mango powder', ' coriander']"
North Indian Recipes,Tandoori Paneer Darts Masala Recipe,"['paneer cottage cheese', ' coal coal', ' tomato puree', ' heavy whipping cream', ' mint leaves', ' garlic', ' ginger', ' fennel seeds', ' carom seeds', ' saffron', ' cumin powder', ' coriander powder', ' chaat masala', ' garam masala powder', ' black pepper powder', ' red chilli powder', ' black salt kala', ' turmeric powder', ' salt']"
South Indian Recipes,Curd Jantikalu Recipe - Crispy Curd Snacks,"['rice flour', ' all purpose flour', ' curd dahi yogurt', ' sesame seeds', ' seeds', ' red chilli powder', ' salt', ' butter', ' sunflower oil', ' water']"
North Indian Recipes,Green Mango Masoor Dal Recipe,"['whole', ' mango', ' green chillies', ' turmeric powder', ' salt', ' mustard oil', ' cumin seeds', ' mustard seeds', ' kalonji onion nigella seeds', ' fennel seeds', ' seeds fenugreek seeds', ' red chilli']"
Italian Recipes,Mango Tiramisu Recipe With Savoiardi,"['eggs', ' sugar', ' all purpose flour', ' mascarpone', ' heavy cream', ' icing sugar', ' mango pureed', ' mango pulp puree', ' sugar', ' water', ' mango']"
Continental,Cheesy Bread Pizza Recipe With Roasted Veggies,"['panini bread', ' butter', ' pizza and pasta sauce', ' del monte', ' onion', ' broccoli', ' bell pepper capsicum', ' carrot', ' extra virgin olive oil', ' salt and pepper']"
South Indian Recipes,Spicy Tomato Uttapam With Garlic Recipe,"['idli rice', ' rice', ' arhar dal', ' black', ' seeds fenugreek seeds', ' salt', ' tomatoes', ' garlic', ' chilli', ' salt', ' sunflower oil']"
